"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Posts API","4","1","Negative scenarios","0"
"0","","0","Posts API","7","1","Get post","0"
"0","","0","Posts API","1","0","Create post","0"
"0","","0","Performance","1","0","Response time stability","0"
"0","","0","Posts API","1","0","Delete post","0"
